question,options,answer,answer_idx,dataset_source
"A 27-year-old woman comes to the physician because of a 3-day history of a sore throat and fever. Her temperature is 38.5°C (101.3°F). Examination shows edematous oropharyngeal mucosa and enlarged tonsils with purulent exudate. There is tender cervical lymphadenopathy. If left untreated, which of the following conditions is most likely to occur in this patient?","{""A"": ""Toxic shock syndrome"", ""B"": ""Polymyalgia rheumatica"", ""C"": ""Dilated cardiomyopathy"", ""D"": ""Erythema multiforme""}",Dilated cardiomyopathy,C,Med-QA
"A 72-year-old man comes to his primary care provider because of double vision and headache. He says these symptoms developed suddenly last night and have not improved. He has had type 2 diabetes mellitus for 32 years and essential hypertension for 19 years for which he takes metformin and lisinopril. His last recorded A1c was 9.4%. He has smoked 10 to 15 cigarettes a day for the past 35 years. Family history is significant for chronic kidney disease in his mother. Vital signs reveal a temperature of 36.9 °C (98.42°F), blood pressure of 137/82 mm Hg, and pulse of 72/min. On examination, there is ptosis of the right eye and it is deviated down and out. Visual acuity is not affected in either eye. Which of the following cranial nerves is most likely impaired in this patient?","{""A"": ""Trochlear nerve"", ""B"": ""Oculomotor nerve"", ""C"": ""Abducens nerve"", ""D"": ""Facial nerve""}",Oculomotor nerve,B,Med-QA
"A 51-year-old man presents complaining of decreased vibratory sense in his lower limbs. Physical exam reveals a widened pulse pressure and a decrescendo murmur occurring after the S2 heart sound. After further questioning, he also reports he experienced a maculopapular rash over his trunk, palms and soles many years ago that resolved on its own. In order to evaluate the suspected diagnosis, the physician FIRST tested for which of the following?","{""A"": ""Agglutination of antibodies with beef cardiolipin"", ""B"": ""Indirect immunofluoresence of the patient’s serum and killed T. palladium"", ""C"": ""Cytoplasmic inclusions on Giemsa stain"", ""D"": ""Agglutination of patients serum with Proteus O antigens""}",Agglutination of antibodies with beef cardiolipin,A,Med-QA
"Three days after undergoing cardiac catheterization and coronary angioplasty for acute myocardial infarction, a 70-year-old man develops shortness of breath at rest. He has hypertension, hyperlipidemia, and type 2 diabetes mellitus. His current medications include aspirin, clopidogrel, atorvastatin, sublingual nitroglycerin, metoprolol, and insulin. He appears diaphoretic. His temperature is 37°C (98.6°F), pulse is 120/min, respirations are 22/min, and blood pressure is 100/55 mm Hg. Crackles are heard at both lung bases. Cardiac examination shows a new grade 3/6 holosystolic murmur heard best at the cardiac apex. An ECG shows sinus rhythm with T wave inversion in leads II, III, and aVF. Which of the following is the most likely explanation for this patient's symptoms?","{""A"": ""Ventricular septal rupture"", ""B"": ""Postmyocardial infarction syndrome"", ""C"": ""Coronary artery dissection"", ""D"": ""Papillary muscle rupture""}",Papillary muscle rupture,D,Med-QA
"A 66-year-old man undergoes a coronary artery bypass grafting. Upon regaining consciousness, he reports that he cannot see from either eye and cannot move his arms. Physical examination shows bilaterally equal, reactive pupils. A fundoscopy shows no abnormalities. An MRI of the brain shows wedge-shaped cortical infarcts in both occipital lobes. Which of the following is the most likely cause of this patient's current symptoms?","{""A"": ""Lipohyalinosis"", ""B"": ""Cardiac embolism"", ""C"": ""Atherothrombosis"", ""D"": ""Systemic hypotension\n\""""}","Systemic hypotension
""",D,Med-QA
"A 74-year-old man presents to the emergency room with abdominal pain. He reports acute onset of left lower quadrant abdominal pain and nausea three hours prior to presentation. The pain is severe, constant, and non-radiating. He has had two maroon-colored bowel movements since the pain started. His past medical history is notable for hypertension, hyperlipidemia, atrial fibrillation, insulin-dependent diabetes mellitus, and rheumatoid arthritis. He takes lisinopril, hydrochlorothiazide, atorvastatin, dabigatran, methotrexate. He has a 60 pack-year smoking history and drinks 1-2 beers per day. He admits to missing some of his medications recently because he was on vacation in Hawaii. His last colonoscopy was 4 years ago which showed diverticular disease in the descending colon and multiple sessile polyps in the sigmoid colon which were removed. His temperature is 100.1°F (37.8°C), blood pressure is 145/85 mmHg, pulse is 100/min, and respirations are 20/min. On exam, he has notable abdominal distention and is exquisitely tender to palpation in all four abdominal quadrants. Bowel sounds are absent. Which of the following is the most likely cause of this patient’s condition?","{""A"": ""Cardiac thromboembolism"", ""B"": ""Duodenal compression"", ""C"": ""Perforated intestinal mucosal herniation"", ""D"": ""Paradoxical thromboembolism""}",Cardiac thromboembolism,A,Med-QA
"A 57-year-old man presents to the emergency department with shortness of breath. He was eating dinner with his family during the holidays and felt very short of breath, thus prompting him to come in. The patient has a past medical history of diabetes, hypertension, 2 myocardial infarctions, and obesity. Physical exam is notable for bilateral pulmonary crackles and a jugular venous distension. Chest radiography reveals an enlarged cardiac silhouette and blunting of the costophrenic angles. The patient is started on a medication for his acute symptoms. Two hours later, he states his symptoms have vastly improved and repeat chest radiography is notable for an enlarged cardiac silhouette. Which of the following is a property of the medication most likely given?","{""A"": ""Can lead to respiratory depression"", ""B"": ""Causes venodilation and a decrease in preload"", ""C"": ""Increases cardiac contractility and afterload"", ""D"": ""Chronic use leads to long-term nephrogenic adaptations""}",Chronic use leads to long-term nephrogenic adaptations,D,Med-QA
"An investigator is studying cardiomyocytes in both normal and genetically modified mice. Both the normal and genetically modified mice are observed after aerobic exercise and their heart rates are recorded and compared. After a 10-minute session on a treadmill, the average pulse measured in the normal mice is 680/min, whereas in the genetically modified mice it is only 160/min. Which of the following is most likely to account for the increased heart rate seen in the normal mice?","{""A"": ""Greater cardiomyocyte size"", ""B"": ""Greater ratio of heart to body weight"", ""C"": ""Lower number of gap junctions"", ""D"": ""Greater T-tubule density""}",Greater T-tubule density,D,Med-QA
"A 10-month-old boy is referred to the hospital because of suspected severe pneumonia. During the first month of his life, he had developed upper airway infections, bronchitis, and diarrhea. He has received all the immunizations according to his age. He failed to thrive since the age of 3 months. A month ago, he had a severe lung infection with cough, dyspnea, and diarrhea, and was unresponsive to an empiric oral macrolide. Upon admission to his local hospital, the patient has mild respiratory distress and crackles on auscultation. The temperature is 39.5°C (103.1°F), and the oxygen saturation is 95% on room air. The quantitative immunoglobulin tests show increased IgG, IgM, and IgA. The peripheral blood smear shows leukocytosis and normochromic normocytic anemia. The chloride sweat test and tuberculin test are negative. The chest X-ray reveals bilateral pneumonia. The bronchoalveolar lavage and gram stain report gram-negative bacteria with a growth of Burkholderia cepacia on culture. The laboratory results on admission are as follows:
Leukocytes 36,600/mm3
Neutrophils 80%
Lymphocytes 16%
  Eosinophils 1%
Monocytes 2%
Hemoglobin 7.6 g/dL
Creatinine 0.8 mg/dL
BUN 15 mg/dL
Which of the following defects of neutrophil function is most likely responsible?","{""A"": ""Absent respiratory burst"", ""B"": ""Leukocyte adhesion molecule deficiency"", ""C"": ""Phagocytosis defect"", ""D"": ""Lysosomal trafficking defect""}",Absent respiratory burst,A,Med-QA
"A 53-year-old man is being evaluated for a 3-week history of fatigue, difficulty to concentrate, dyspnea with exertion, dizziness, and digital pain that improves with cold. He has smoked half a pack of cigarettes a day since he was 20. His current medical history involves hypertension. He takes enalapril daily. The vital signs include a blood pressure of 131/82 mm Hg, a heart rate of 95/min, and a temperature of 36.9°C (98.4°F). On physical examination, splenomegaly is found. A complete blood count reveals thrombocytosis of 700,000 cells/m3. Lab work further shows decreased serum iron, iron saturation, and serum ferritin and increased total iron binding capacity. A blood smear reveals an increased number of abnormal platelets, and a bone marrow aspirate confirmed the presence of dysplastic megakaryocytes. A mutation on his chromosome 9 confirms the physician’s suspicion of a certain clonal myeloproliferative disease. The patient is started on hydroxyurea. What is the most likely diagnosis?","{""A"": ""Myelofibrosis with myeloid metaplasia"", ""B"": ""Essential thrombocythemia"", ""C"": ""Polycythemia vera"", ""D"": ""Aplastic anemia""}",Essential thrombocythemia,B,Med-QA
"A 42-year-old Caucasian male presents to your office with hematuria and right flank pain. He has no history of renal dialysis but has a history of recurrent urinary tract infections. You order an intravenous pyelogram, which reveals multiple cysts of the collecting ducts in the medulla. What is the most likely diagnosis?","{""A"": ""Simple retention cysts"", ""B"": ""Acquired polycystic kidney disease"", ""C"": ""Autosomal dominant polycystic kidney disease"", ""D"": ""Medullary sponge kidney""}",Medullary sponge kidney,D,Med-QA
"A 53-year-old woman presents to your office with several months of fatigue and abdominal pain. The pain is dull in character and unrelated to meals. She has a history of type 2 diabetes mellitus and rheumatic arthritis for which she is taking ibuprofen, methotrexate, and metformin. She has 2-3 drinks on the weekends and does not use tobacco products. On physical examination, there is mild tenderness to palpation in the right upper quadrant. The liver span is 15 cm at the midclavicular line. Laboratory results are as follows:

Serum:
Na+: 135 mEq/L
Cl-: 100 mEq/L
K+: 3.7 mEq/L
HCO3-: 24 mEq/L
BUN: 13 mg/dL
Creatinine: 1.0 mg/dL
Alkaline phosphatase: 100 U/L
AST: 70 U/L
ALT: 120 U/L
Bilirubin (total): 0.5 mg/dL
Bilirubin (conjugated): 0.1 mg/dL
Amylase: 76 U/L

What is the most likely cause of her clinical presentation?","{""A"": ""Copper accumulation in hepatocytes"", ""B"": ""Fatty infiltration of hepatocytes"", ""C"": ""Alcohol-induced destruction of hepatocytes"", ""D"": ""Drug-induced liver damage""}",Fatty infiltration of hepatocytes,B,Med-QA
"A 24-year-old man presents with low-grade fever and shortness of breath for the last 3 weeks. Past medical history is significant for severe mitral regurgitation status post mitral valve replacement five years ago. His temperature is 38.3°C (101.0°F) and respiratory rate is 18/min. Physical examination reveals vertical hemorrhages under his nails, multiple painless erythematous lesions on his palms, and two tender, raised nodules on his fingers. Cardiac auscultation reveals a new-onset 2/6 holosystolic murmur loudest at the apex with the patient in the left lateral decubitus position. A transesophageal echocardiogram reveals vegetations on the prosthetic valve. Blood cultures reveal catalase-positive, gram-positive cocci. Which of the following characteristics is associated with the organism most likely responsible for this patient’s condition?","{""A"": ""Hemolysis"", ""B"": ""Coagulase positive"", ""C"": ""DNAse positive"", ""D"": ""Novobiocin sensitive""}",Novobiocin sensitive,D,Med-QA
"A 32-year-old woman comes to the emergency department for a 2-week history of right upper quadrant abdominal pain. She has also been feeling tired and nauseous for the past 5 weeks. She has a history of depression and suicidal ideation. She is a social worker for an international charity foundation. She used intravenous illicit drugs in the past but quit 4 months ago. Her only medication is sertraline. Her temperature is 37.8°C (100.0°F), pulse is 100/min, and blood pressure is 128/76 mm Hg. She is alert and oriented. Scleral icterus is present. Abdominal examination shows tenderness to palpation in the right upper quadrant. The liver edge is palpated 3 cm below the right costal margin. There is no rebound tenderness or guarding. The abdomen is non-distended and the fluid wave test is negative. She is able to extend her arms with wrists in full extension and hold them steady without flapping. Laboratory studies show:
Hemoglobin 13.8 g/dL
Leukocytes 13,700/mm3
Platelets 165,000/mm3
Prothrombin time 14 seconds
Partial thromboplastin time 35 seconds
Serum:
Total bilirubin 4.8 mg/dL
Direct bilirubin 1.3 mg/dL
Aspartate aminotransferase 1852 U/L
Alanine aminotransferase 2497 U/L
Urea nitrogen 21 mg/dL
Creatinine 1.2 mg/dL
Hepatitis A IgM antibody Negative
Hepatitis B surface antigen Negative
Hepatitis B surface antibody Negative
Hepatitis B core IgM antibody Positive
Hepatitis C antibody Positive
Hepatitis C RNA Negative
Urine beta-hCG Negative
Which of the following is the most appropriate next step in management?""","{""A"": ""Supportive therapy"", ""B"": ""Tenofovir"", ""C"": ""Ribavirin and interferon"", ""D"": ""Vaccination against Hepatitis B""}",Supportive therapy,A,Med-QA
"A 64-year-old man who recently immigrated to the United States from Haiti comes to the physician because of a 3-week history of progressively worsening exertional dyspnea and fatigue. For the past few days, he has also had difficulty lying flat due to trouble breathing. Over the past year, he has had intermittent fever, night sweats, and cough but he has not been seen by a physician for evaluation of these symptoms. His temperature is 37.8°C (100°F). An x-ray of the chest is shown. Further evaluation of this patient is most likely to show which of the following findings?","{""A"": ""Elimination of S2 heart sound splitting with inspiration"", ""B"": ""Head bobbing in synchrony with heart beat"", ""C"": ""Jugular venous distention on inspiration"", ""D"": ""Crescendo-decrescendo systolic ejection murmur""}",Jugular venous distention on inspiration,C,Med-QA
A 55-year-old man with a past medical history of obesity and hyperlipidemia suddenly develops left-sided chest pain and shortness of breath while at work. He relays to coworkers that the pain is intense and has spread to his upper left arm over the past 10 minutes. He reports it feels a lot like the “heart attack” he had a year ago. He suddenly collapses and is unresponsive. Coworkers perform cardiopulmonary resuscitation for 18 minutes until emergency medical services arrives. Paramedics pronounce him dead at the scene. Which of the following is the most likely cause of death in this man?,"{""A"": ""Atrial fibrillation"", ""B"": ""Free wall rupture"", ""C"": ""Pericarditis"", ""D"": ""Ventricular tachycardia""}",Ventricular tachycardia,D,Med-QA
"A 23-year-old man comes to the emergency department because of palpitations, dizziness, and substernal chest pain for three hours. The day prior, he was at a friend’s wedding, where he consumed seven glasses of wine. The patient appears diaphoretic. His pulse is 220/min and blood pressure is 120/84 mm Hg. Based on the patient's findings on electrocardiography, the physician diagnoses atrial fibrillation with rapid ventricular response and administers verapamil for rate control. Ten minutes later, the patient is unresponsive and loses consciousness. Despite resuscitative efforts, the patient dies. Histopathologic examination of the heart at autopsy shows an accessory atrioventricular conduction pathway. Electrocardiography prior to the onset of this patient's symptoms would most likely have shown which of the following findings?","{""A"": ""Slurred upstroke of the QRS complex"", ""B"": ""Epsilon wave following the QRS complex"", ""C"": ""Prolongation of the QT interval"", ""D"": ""Positive Sokolow-Lyon index""}",Slurred upstroke of the QRS complex,A,Med-QA
"A 59-year-old Caucasian man with a history of hypertension and emphysema is brought to the hospital because of progressive lethargy and confusion. The patient has been experiencing poor appetite for the past 3 months and has unintentionally lost 9 kg (19.8 lb). He was a smoker for 35 years and smoked 1 pack daily, but he quit 5 years ago. He takes lisinopril and bisoprolol for hypertension and has no allergies. On examination, the patient appears cachectic. He responds to stimulation but is lethargic and unable to provide any significant history. His blood pressure is 138/90 mm Hg, heart rate is 100/min, and his oxygen saturation on room air is 90%. His mucous membranes are moist, heart rate is regular without murmurs or an S3/S4 gallop, and his extremities are without any edema. His pulmonary examination shows mildly diminished breath sounds in the right lower lobe with bilateral wheezing. His laboratory values are shown:
Sodium 110 mEq/L
Potassium 4.1 mEq/L
Chloride 102 mEq/L
CO2 41 mm Hg
BUN 18
Creatinine 1.3 mg/dL
Glucose 93 mg/dL
Urine osmolality 600 mOsm/kg H2O
Plasma osmolality 229 mEq/L
WBC 8,200 cells/mL
Hgb 15.5 g/dL
Arterial blood gas pH 7.36/pCO2 60/pO2 285
Chest X-ray demonstrates a mass in the right upper lobe. What is the most appropriate treatment to address the patient’s hyponatremia?","{""A"": ""Dextrose with 20 mEq/L KCl at 250 mL/h"", ""B"": ""0.45% saline at 100 mL/h"", ""C"": ""3% saline at 35 mL/h"", ""D"": ""0.45% saline with 30 mEq/L KCl at 100 mL/h""}",3% saline at 35 mL/h,C,Med-QA
"A 1-year-old boy is brought to the emergency department after his mother witnessed him swallow a nickel-sized battery a few hours ago. She denies any episodes of vomiting or hematemesis. The vital signs include: temperature 37.0°C (98.6°F), blood pressure 95/45 mm Hg, pulse 140/min, respiratory rate 15/min, and oxygen saturation 99% on room air. On physical examination, the patient is alert and responsive. The oropharynx is clear. The cardiac exam is significant for a grade 2/6 holosystolic murmur loudest at the left lower sternal border. The lungs are clear to auscultation. The abdomen is soft and nontender with no hepatosplenomegaly. Bowel sounds are present. What is the most appropriate next step in the management of this patient?","{""A"": ""Induce emesis to expel the battery"", ""B"": ""Induce gastrointestinal motility with metoclopramide to expel the battery"", ""C"": ""Computed tomography (CT) scan to confirm the diagnosis "", ""D"": ""Immediate endoscopic removal""}",Immediate endoscopic removal,D,Med-QA
"A 28-year-old soldier is brought back to a military treatment facility 45 minutes after sustaining injuries in a building fire from a mortar attack. He was trapped inside the building for around 20 minutes. On arrival, he is confused and appears uncomfortable. He has a Glasgow Coma Score of 13. His pulse is 113/min, respirations are 18/min, and blood pressure is 108/70 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 96%. Examination shows multiple second-degree burns over the chest and bilateral upper extremities and third-degree burns over the face. There are black sediments seen within the nose and mouth. The lungs are clear to auscultation. Cardiac examination shows no abnormalities. The abdomen is soft and nontender. Intravenous fluid resuscitation is begun. Which of the following is the most appropriate next step in management?","{""A"": ""Insertion of nasogastric tube and enteral nutrition"", ""B"": ""Intravenous antibiotic therapy"", ""C"": ""Intubation and mechanical ventilation"", ""D"": ""Intravenous corticosteroid therapy""}",Intubation and mechanical ventilation,C,Med-QA
"A 24-year-old woman with a past medical history of anorexia nervosa presents to the clinic due to heavy menses, bleeding gums, and easy bruisability. She says she is trying to lose weight by restricting her food intake. She has taken multiple courses of antibiotics for recurrent sinusitis over the past month. No other past medical history or current medications. She is not sexually active. Her vital signs are as follows: temperature 37.0°C (98.6°F), blood pressure 90/60 mm Hg, heart rate 100/min, respiratory rate 16/min. Her BMI is 16 kg/m2. Her physical examination is significant for ecchymosis on the extremities, dry mucous membranes, and bleeding gums. A gynecological exam is non-contributory. Laboratory tests show a prolonged PT, normal PTT, and normal bleeding time. CBC shows microcytic anemia, normal platelets, and normal WBC. Her urine pregnancy test is negative. Which of the following is the most likely cause of her condition?","{""A"": ""Vitamin K deficiency"", ""B"": ""Acute myelogenous leukemia"", ""C"": ""Missed miscarriage"", ""D"": ""Physical abuse""}",Vitamin K deficiency,A,Med-QA
"A 65-year-old obese female presents to the emergency room complaining of severe abdominal pain. She reports pain localized to the epigastrium that radiates to the right scapula. The pain occurred suddenly after a fast food meal with her grandchildren. Her temperature is 100.9°F (38.2°C), blood pressure is 140/85 mmHg, pulse is 108/min, and respirations are 20/min. On examination, she demonstrates tenderness to palpation in the epigastrium. She experiences inspiratory arrest during deep palpation of the right upper quadrant but this exam finding is not present on the left upper quadrant. A blockage at which of the following locations is most likely causing this patient’s symptoms?","{""A"": ""Common hepatic duct"", ""B"": ""Ampulla of Vater"", ""C"": ""Cystic duct"", ""D"": ""Pancreatic duct of Wirsung""}",Cystic duct,C,Med-QA
"A 27-year-old Asian woman presents to her primary care physician with joint pain and a headache. She has had intermittent joint and muscle pain for the past several months in the setting of a chronic headache. She states that the pain seems to migrate from joint to joint, and her muscles typically ache making it hard for her to sleep. The patient's past medical history is non-contributory, and she is currently taking ibuprofen for joint pain. Physical exam is notable for an asymmetrical pulse in the upper extremities. The patient has lost 10 pounds since her previous visit 2 months ago. Laboratory values are notable for an elevated C-reactive protein and erythrocyte sedimentation rate. Which of the following is the best next step in management?","{""A"": ""Anti-dsDNA level"", ""B"": ""Methotrexate"", ""C"": ""Prednisone"", ""D"": ""Temporal artery biopsy""}",Prednisone,C,Med-QA
"Your colleague has been reading the literature on beta-carotene supplementation and the risk of heart disease. She thinks they may share a clinically relevant association and would like to submit an editorial to a top journal. Upon final literature review, she discovers a newly published study that refutes any association between beta-carotene and heart disease. Your colleague is upset; you suggest that she, instead, mathematically pool the results from all of the studies on this topic and publish the findings. What type of study design are you recommending to your colleague?","{""A"": ""Randomized control trial"", ""B"": ""Case-cohort study"", ""C"": ""Meta-analysis"", ""D"": ""Cross-sectional study""}",Meta-analysis,C,Med-QA
"A 62-year-old woman is referred to a tertiary care hospital with a history of diplopia and fatigue for the past 3 months. She has also noticed difficulty in climbing the stairs and combing her hair. She confirms a history of 2.3 kg (5.0 lb) weight loss in the past 6 weeks and constipation. Past medical history is significant for type 2 diabetes mellitus. She has a 50-pack-year cigarette smoking history. Physical examination reveals a blood pressure of 135/78 mm Hg supine and 112/65 while standing, a heart rate of 82/min supine and 81/min while standing, and a temperature of 37.0°C (98.6°F). She is oriented to time and space. Her right upper eyelid is slightly drooped. She has difficulty in abducting the right eye. Pupils are bilaterally equal and reactive to light with accommodation. The corneal reflex is intact. Muscle strength is reduced in the proximal muscles of all 4 limbs, and the lower limbs are affected more when compared to the upper limbs. Deep tendon reflexes are bilaterally absent. After 10 minutes of cycling, the reflexes become positive. Sensory examination is normal. Diffuse wheezes are heard on chest auscultation. Which of the following findings is expected?","{""A"": ""Antibodies against muscle-specific kinase"", ""B"": ""Incremental pattern on repetitive nerve conduction studies"", ""C"": ""Periventricular plaques on MRI of the brain"", ""D"": ""Thymoma on CT scan of the chest""}",Incremental pattern on repetitive nerve conduction studies,B,Med-QA
"A 43-year-old woman presents to her primary care physician for a general wellness appointment. The patient states that sometimes she has headaches and is ashamed of her body habitus. Otherwise, the patient has no complaints. The patient's 90-year-old mother recently died of breast cancer. The patient smokes 1 pack of cigarettes per day. She drinks 2-3 glasses of red wine per day with dinner. She has been considering having a child as she has just been promoted to a position that gives her more time off and a greater income. The patient's current medications include lisinopril, metformin, and a progesterone intrauterine device (IUD). On physical exam, you note a normal S1 and S2 heart sound. Pulmonary exam is clear to auscultation bilaterally. The patient's abdominal, musculoskeletal, and neurological exams are within normal limits. The patient is concerned about her risk for breast cancer and asks what she can do to reduce her chance of getting this disease. Which of the following is the best recommendation for this patient?","{""A"": ""Begin breastfeeding"", ""B"": ""Test for BRCA1 and 2"", ""C"": ""Recommend monthly self breast exams"", ""D"": ""Exercise and reduce alcohol intake""}",Exercise and reduce alcohol intake,D,Med-QA
"A 52-year-old woman presents to the clinic with complaints of intermittent chest pain for 3 days. The pain is retrosternal, 3/10, and positional (laying down seems to make it worse). She describes it as “squeezing and burning” in quality, is worse after food intake and emotional stress, and improves with antacids. The patient recently traveled for 4 hours in a car. Past medical history is significant for osteoarthritis, hypertension and type 2 diabetes mellitus, both of which are moderately controlled. Medications include ibuprofen, lisinopril, and hydrochlorothiazide. She denies palpitations, dyspnea, shortness of breath, weight loss, fever, melena, or hematochezia. What is the most likely explanation for this patient’s symptoms?","{""A"": ""Blood clot within the lungs"", ""B"": ""Decreased gastric mucosal protection"", ""C"": ""Incompetence of the lower esophageal sphincter"", ""D"": ""Insufficient blood supply to the myocardium""}",Incompetence of the lower esophageal sphincter,C,Med-QA
"A 24-year-old man presents to the emergency department for severe abdominal pain for the past day. The patient states he has had profuse, watery diarrhea and abdominal pain that is keeping him up at night. The patient also claims that he sees blood on the toilet paper when he wipes and endorses having lost 5 pounds recently. The patient's past medical history is notable for IV drug abuse and a recent hospitalization for sepsis. His temperature is 99.5°F (37.5°C), blood pressure is 120/68 mmHg, pulse is 100/min, respirations are 14/min, and oxygen saturation is 98% on room air. On physical exam, you note a young man clutching his abdomen in pain. Abdominal exam demonstrates hyperactive bowel sounds and diffuse abdominal tenderness. Cardiopulmonary exam is within normal limits. Which of the following is the next best step in management?","{""A"": ""Metronidazole"", ""B"": ""Vancomycin"", ""C"": ""Clindamycin"", ""D"": ""Supportive therapy and ciprofloxacin if symptoms persist""}",Vancomycin,B,Med-QA
"A 2300-g (5.07-lb) male newborn is delivered at term to a 39-year-old woman. Examination shows a sloping forehead, a flat nasal bridge, increased interocular distance, low-set ears, a protruding tongue, a single palmar crease and an increased gap between the first and second toe. There are small white and brown spots in the periphery of both irises. The abdomen is distended. An x-ray of the abdomen shows two large air-filled spaces in the upper quadrant. This patient's condition is most likely associated with which of the following cardiac anomalies?","{""A"": ""Atrial septal defects"", ""B"": ""Atrioventricular septal defect"", ""C"": ""Tetralogy of Fallot"", ""D"": ""Ventricular septal defect""}",Atrioventricular septal defect,B,Med-QA
"A 47-year-old woman comes to the physician because of a 3-week history of generalized fatigue, mild fever, abdominal pain, and nausea. She attended the state fair over a month ago, where she tried a number of regional foods, and wonders if it might have been caused by something she ate. She has also noticed darkening of her urine, which she attributes to not drinking enough water recently. She has type 2 diabetes mellitus. She drinks 1–2 beers daily. She works as nursing assistant in a rehabilitation facility. Current medications include glyburide, sitagliptin, and a multivitamin. She appears tired. Her temperature is 38.1°C (100.6°F), pulse is 99/min, and blood pressure is 110/74 mm Hg. Examination shows mild scleral icterus. The liver is palpated 2–3 cm below the right costal margin and is tender. Laboratory studies show:
Hemoglobin 10.6 g/dL
Leukocyte count 11600/mm3
Platelet count 221,000/mm3
Serum
Urea nitrogen 26 mg/dL
Glucose 122 mg/dL
Creatinine 1.3 mg/dL
Bilirubin 3.6 mg/dL
Total 3.6 mg/dL
Direct 2.4 mg/dL
Alkaline phosphatase 72 U/L
AST 488 U/L
ALT 798 U/L
Hepatitis A IgG antibody (HAV-IgG) positive
Hepatitis B surface antigen (HBsAg) positive
Hepatitis B core IgG antibody (anti-HBc) positive
Hepatitis B envelope antigen (HBeAg) positive
Hepatitis C antibody (anti-HCV) negative
Which of the following is the most likely diagnosis?""","{""A"": ""Inactive chronic hepatitis B infection"", ""B"": ""Acute hepatitis B infection"", ""C"": ""Active chronic hepatitis B infection"", ""D"": ""Alcoholic hepatitis""}",Active chronic hepatitis B infection,C,Med-QA
"A 74-year-old man presents to the emergency department with sudden onset of abdominal pain that is most felt around the umbilicus. The pain began 16 hours ago and has no association with meals. He has not been vomiting, but he has had several episodes of bloody loose bowel movements. He was hospitalized 1 week ago for an acute myocardial infarction. He has had diabetes mellitus for 35 years and hypertension for 20 years. He has smoked 15–20 cigarettes per day for the past 40 years. His temperature is 36.9°C (98.4°F), blood pressure is 95/65 mm Hg, and pulse is 95/min. On physical examination, the patient is in severe pain, there is a mild periumbilical tenderness, and a bruit is heard over the epigastric area. Which of the following is the most likely diagnosis?","{""A"": ""Colonic ischemia"", ""B"": ""Acute mesenteric ischemia"", ""C"": ""Peptic ulcer disease"", ""D"": ""Irritable bowel syndrome""}",Acute mesenteric ischemia,B,Med-QA
"A 33-year-old woman, gravida 2, para 1, at 26 weeks' gestation comes to the emergency department because of frequent contractions. The contractions are 40 seconds each, occurring every 2 minutes, and increasing in intensity. Her first child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate. Her current medications include folic acid and a multivitamin. Her temperature is 36.9°C (98.4°F), heart rate is 88/min, and blood pressure is 126/76 mm Hg. Contractions are felt on the abdomen. There is clear fluid in the vulva and the introitus. The cervix is dilated to 5 cm, 70% effaced, and station of the head is -2. A fetal ultrasound shows polyhydramnios, a median cleft lip, and fused thalami. The corpus callosum, 3rd ventricle, and lateral ventricles are absent. The spine shows no abnormalities and there is a four chamber heart. Which of the following is the most appropriate next step in management?","{""A"": ""Perform cesarean delivery"", ""B"": ""Allow vaginal delivery"", ""C"": ""Perform dilation and evacuation"", ""D"": ""Initiate nifedipine therapy""}",Allow vaginal delivery,B,Med-QA
"A 52-year-old woman comes to the emergency department because of epigastric abdominal pain that started after her last meal and has become progressively worse over the past 6 hours. She has had intermittent pain similar to this before, but it has never lasted this long. Her temperature is 39°C (102.2°F). Examination shows a soft abdomen with normal bowel sounds. The patient has sudden inspiratory arrest during right upper quadrant palpation. Her alkaline phosphatase, total bilirubin, amylase, and aspartate aminotransferase levels are within the reference ranges. Abdominal imaging is most likely to show which of the following findings?","{""A"": ""Dilated common bile duct with intrahepatic biliary dilatation"", ""B"": ""Gallstone in the cystic duct"", ""C"": ""Fistula formation between the gallbladder and bowel"", ""D"": ""Decreased echogenicity of the liver""}",Gallstone in the cystic duct,B,Med-QA
"A 15-year-old boy is brought to the physician by his father because he has been waking up frequently during the night to urinate. Apart from occasional headaches, he has no other complaints. His family recently emigrated from Tanzania and his medical history is unknown. His father was diagnosed with sickle cell disease at the age of 5. Physical examination shows no abnormalities. Laboratory studies show:
Hemoglobin 14.5 g/dL
Hematocrit 44%
MCV 90 fL
Reticulocytes 1.5%
A hemoglobin electrophoresis shows:
HbA 55%
HbS 43%
HbF 1%
This patient is at greatest risk for which of the following conditions?""","{""A"": ""Clear cell renal carcinoma"", ""B"": ""Renal papillary necrosis"", ""C"": ""Functional asplenia"", ""D"": ""Ischemic stroke\n\""""}",Renal papillary necrosis,B,Med-QA
"A 71-year-old woman comes to the physician because of an 8-month history of fatigue. Laboratory studies show a hemoglobin concentration of 13.3 g/dL, a serum creatinine concentration of 0.9 mg/dL, and a serum alkaline phosphatase concentration of 100 U/L. Laboratory evaluation of which of the following parameters would be most helpful in determining the cause of this patient's symptoms?","{""A"": ""Cancer antigen 27-29"", ""B"": ""Ferritin"", ""C"": ""Gamma-glutamyl transpeptidase"", ""D"": ""Calcitriol""}",Gamma-glutamyl transpeptidase,C,Med-QA
